iter	Passed	Remaining
466	755	862
467	757	860
468	758	859
469	760	857
470	761	855
471	763	853
472	764	852
473	766	850
474	767	848
475	769	846
476	770	845
477	772	843
478	773	841
479	775	839
480	776	837
481	778	836
482	779	834
483	781	832
484	782	830
485	783	829
486	785	827
487	786	825
488	788	823
489	789	822
490	791	820
491	792	818
492	794	816
493	795	815
494	797	813
495	798	811
496	800	809
497	801	808
498	802	806
499	804	804
500	805	802
501	807	800
502	808	799
503	810	797
504	811	795
505	813	794
506	814	792
507	816	790
508	817	789
509	819	787
510	820	785
511	822	783
512	823	781
513	825	780
514	826	778
515	828	777
516	829	775
517	831	773
518	833	772
519	834	770
520	836	769
521	838	767
522	839	765
523	841	764
524	842	762
525	843	760
526	845	758
527	846	756
528	848	755
529	849	753
530	851	751
531	852	750
532	853	748
533	855	746
534	856	744
535	858	742
536	859	741
537	861	739
538	862	737
539	864	736
540	865	734
541	866	732
542	868	730
543	869	729
544	871	727
545	873	725
546	874	724
547	875	722
548	877	720
549	878	718
550	880	717
551	881	715
552	882	713
553	884	711
554	885	710
555	887	708
556	888	706
557	890	705
558	891	703
559	893	701
560	894	700
561	896	698
562	897	696
563	898	694
564	900	693
565	901	691
566	903	689
567	904	688
568	906	686
569	907	684
570	909	682
571	910	681
572	912	679
573	913	677
574	914	676
575	916	674
576	917	672
577	919	671
578	920	669
579	922	667
580	924	666
581	925	664
582	926	662
583	928	661
584	929	659
585	931	657
586	932	656
587	934	654
588	936	653
589	937	651
590	939	649
591	940	648
592	941	646
593	943	644
594	944	643
595	946	641
596	947	639
597	949	638
598	950	636
599	952	634
600	953	633
601	954	631
602	956	629
603	957	627
604	959	626
605	960	624
606	962	622
607	963	621
608	964	619
609	966	617
610	967	616
611	969	614
612	970	612
613	971	611
614	973	609
615	974	607
616	975	605
617	977	604
618	979	602
619	980	600
620	981	599
621	983	597
622	984	595
623	986	594
624	987	592
625	989	590
626	990	589
627	991	587
628	993	585
629	994	584
630	995	582
631	997	580
632	998	578
633	999	577
634	1001	575
635	1002	573
636	1004	572
637	1005	570
638	1007	569
639	1009	567
640	1010	566
641	1012	564
642	1013	562
643	1014	561
644	1016	559
645	1017	557
646	1019	556
647	1020	554
648	1022	552
649	1023	551
650	1025	549
651	1026	547
652	1027	546
653	1028	544
654	1030	542
655	1031	541
656	1033	539
657	1034	537
658	1035	535
659	1037	534
660	1038	532
661	1039	530
662	1041	529
663	1042	527
664	1043	525
665	1045	524
666	1046	522
667	1047	520
668	1049	519
669	1050	517
670	1052	515
671	1053	514
672	1054	512
673	1056	510
674	1057	509
675	1059	507
676	1060	506
677	1062	504
678	1063	502
679	1064	501
680	1066	499
681	1067	497
682	1069	496
683	1070	494
684	1071	492
685	1073	491
686	1074	489
687	1075	487
688	1077	486
689	1078	484
690	1080	482
691	1081	481
692	1082	479
693	1083	477
694	1085	476
695	1086	474
696	1087	472
697	1088	471
698	1090	469
699	1091	467
700	1092	466
701	1094	464
702	1095	462
703	1097	461
704	1098	459
705	1099	457
706	1100	456
707	1102	454
708	1103	453
709	1105	451
710	1106	449
711	1107	448
712	1109	446
713	1110	444
714	1112	443
715	1113	441
716	1114	440
717	1116	438
718	1117	436
719	1119	435
720	1120	433
721	1121	431
722	1122	430
723	1124	428
724	1125	426
725	1126	425
726	1128	423
727	1129	422
728	1130	420
729	1132	418
730	1133	417
731	1134	415
732	1136	413
733	1137	412
734	1138	410
735	1139	408
736	1141	407
737	1142	405
738	1144	404
739	1145	402
740	1146	400
741	1147	399
742	1149	397
743	1150	395
744	1151	394
745	1153	392
746	1154	390
747	1155	389
748	1156	387
749	1158	386
750	1159	384
751	1160	382
752	1162	381
753	1163	379
754	1164	378
755	1166	376
756	1167	374
757	1168	373
758	1170	371
759	1171	369
760	1172	368
761	1173	366
762	1175	365
763	1176	363
764	1177	361
765	1179	360
766	1180	358
767	1181	356
768	1183	355
769	1184	353
770	1185	352
771	1187	350
772	1188	349
773	1189	347
774	1191	345
775	1192	344
776	1193	342
777	1195	341
778	1196	339
779	1197	337
780	1199	336
781	1200	334
782	1202	333
783	1203	331
784	1204	329
785	1205	328
786	1207	326
787	1208	325
788	1209	323
789	1211	322
790	1212	320
791	1214	318
792	1215	317
793	1216	315
794	1218	314
795	1219	312
796	1221	311
797	1222	309
798	1223	307
799	1225	306
800	1226	304
801	1227	303
802	1229	301
803	1230	299
804	1231	298
805	1233	296
806	1234	295
807	1235	293
808	1237	292
809	1238	290
810	1239	288
811	1241	287
812	1242	285
813	1243	284
814	1245	282
815	1246	281
816	1248	279
817	1249	278
818	1251	276
819	1252	274
820	1253	273
821	1255	271
822	1256	270
823	1257	268
824	1259	267
825	1260	265
826	1262	264
827	1263	262
828	1265	260
829	1266	259
830	1268	257
831	1269	256
832	1270	254
833	1271	253
834	1273	251
835	1274	250
836	1275	248
837	1277	246
838	1278	245
839	1279	243
840	1281	242
841	1282	240
842	1283	239
843	1285	237
844	1286	235
845	1287	234
846	1289	232
847	1290	231
848	1291	229
849	1293	228
850	1294	226
851	1295	225
852	1297	223
853	1298	222
854	1300	220
855	1301	218
856	1302	217
857	1304	215
858	1305	214
859	1306	212
860	1308	211
861	1309	209
862	1310	208
863	1312	206
864	1313	204
865	1314	203
866	1316	201
867	1317	200
868	1319	198
869	1320	197
870	1321	195
871	1323	194
872	1324	192
873	1325	191
874	1326	189
875	1328	188
876	1329	186
877	1330	184
878	1332	183
879	1333	181
880	1334	180
881	1336	178
882	1337	177
883	1338	175
884	1340	174
885	1341	172
886	1342	171
887	1344	169
888	1345	167
889	1346	166
890	1348	164
891	1349	163
892	1350	161
893	1352	160
894	1353	158
895	1354	157
896	1356	155
897	1357	154
898	1358	152
899	1360	151
900	1361	149
901	1362	148
902	1364	146
903	1365	145
904	1366	143
905	1368	141
906	1369	140
907	1370	138
908	1372	137
909	1373	135
910	1375	134
911	1376	132
912	1378	131
913	1379	129
914	1381	128
915	1382	126
916	1384	125
917	1385	123
918	1386	122
919	1388	120
920	1389	119
921	1390	117
922	1392	116
923	1393	114
924	1395	113
925	1396	111
926	1397	110
927	1399	108
928	1400	107
929	1401	105
930	1403	104
931	1404	102
932	1406	100
933	1407	99
934	1408	97
935	1410	96
936	1411	94
937	1412	93
938	1414	91
939	1415	90
940	1416	88
941	1418	87
942	1419	85
943	1420	84
944	1421	82
945	1423	81
946	1424	79
947	1425	78
948	1427	76
949	1428	75
950	1430	73
951	1431	72
952	1432	70
953	1434	69
954	1435	67
955	1436	66
956	1438	64
957	1439	63
958	1440	61
959	1442	60
960	1443	58
961	1445	57
962	1446	55
963	1448	54
964	1449	52
965	1450	51
966	1452	49
967	1453	48
968	1454	46
969	1456	45
970	1458	43
971	1459	42
972	1460	40
973	1462	39
974	1463	37
975	1465	36
976	1466	34
977	1467	33
978	1469	31
979	1470	30
980	1472	28
981	1473	27
982	1474	25
983	1475	23
984	1477	22
985	1478	20
986	1479	19
987	1481	17
988	1482	16
989	1483	14
990	1485	13
991	1486	11
992	1487	10
993	1489	8
994	1490	7
995	1491	5
996	1493	4
997	1494	2
998	1495	1
999	1497	0
